NO2,NO,CO,NH3,V0,V1,V2,V3,V4,V5,tf
152,0,0,74,2.102e-02,4.179e-02,-2.080e-02,1.352e-02,-9.928e-03,2.344e-02,1144
52,0,0,71,-3.701e-02,1.028e-02,-4.728e-02,-1.660e-02,3.142e-03,-1.975e-02,1164
75,0,0,190,-8.818e-02,4.792e-03,-9.298e-02,-5.427e-02,1.701e-02,-7.127e-02,1184
190,0,0,66,3.933e-02,5.215e-02,-1.281e-02,2.254e-02,-1.149e-02,3.402e-02,1204
146,0,0,55,3.231e-02,4.455e-02,-1.225e-02,1.910e-02,-1.049e-02,2.959e-02,1225
98,0,0,68,-2.595e-03,2.680e-02,-2.941e-02,2.046e-03,-6.026e-03,8.069e-03,1245
79,0,0,64,-1.152e-02,2.088e-02,-3.241e-02,-2.423e-03,-3.812e-03,1.386e-03,1265
117,0,0,119,-3.340e-02,2.260e-02,-5.600e-02,-1.841e-02,-4.844e-05,-1.837e-02,1285
141,0,0,91,2.346e-03,3.468e-02,-3.233e-02,3.699e-03,-8.023e-03,1.172e-02,1305
139,0,0,103,-8.404e-03,3.135e-02,-3.976e-02,-2.728e-03,-6.476e-03,3.744e-03,1325
58,0,0,54,-1.727e-02,1.532e-02,-3.262e-02,-4.788e-03,-1.814e-03,-2.978e-03,1345
105,0,0,146,-5.805e-02,1.575e-02,-7.380e-02,-3.531e-02,8.142e-03,-4.345e-02,1365
67,0,0,193,-9.250e-02,2.345e-03,-9.484e-02,-5.602e-02,1.770e-02,-7.372e-02,1385
89,0,0,129,-5.594e-02,1.363e-02,-6.958e-02,-3.241e-02,7.964e-03,-4.038e-02,1405
197,0,0,113,1.231e-02,4.433e-02,-3.203e-02,8.338e-03,-1.030e-02,1.864e-02,1426
173,0,0,91,1.738e-02,4.294e-02,-2.556e-02,1.160e-02,-1.018e-02,2.178e-02,1446
186,0,0,114,7.192e-03,4.178e-02,-3.458e-02,5.393e-03,-9.675e-03,1.507e-02,1466
81,0,0,52,1.588e-03,2.439e-02,-2.281e-02,4.539e-03,-5.933e-03,1.047e-02,1486
100,0,0,135,-5.403e-02,1.593e-02,-6.998e-02,-3.198e-02,6.912e-03,-3.889e-02,1506
66,0,0,78,-3.393e-02,1.385e-02,-4.777e-02,-1.510e-02,1.732e-03,-1.683e-02,1526
51,0,0,165,-8.792e-02,1.183e-03,-8.912e-02,-5.049e-02,1.600e-02,-6.649e-02,1546
172,0,0,175,-4.007e-02,2.825e-02,-6.833e-02,-2.684e-02,5.622e-04,-2.741e-02,1566
196,0,0,120,7.475e-03,4.295e-02,-3.548e-02,5.332e-03,-9.927e-03,1.526e-02,1586
0,50,0,50,-4.556e-02,-1.418e-03,-4.416e-02,-1.961e-02,6.010e-03,-2.563e-02,1677
0,50,0,75,-6.239e-02,-2.639e-03,-5.978e-02,-2.846e-03,9.059e-03,-3.752e-02,1697
0,50,0,100,-7.367e-02,-2.328e-03,-7.134e-02,-3.655e-02,1.172e-02,-4.828e-02,1717
0,50,0,125,-8.228e-02,-1.716e-03,-8.058e-02,-4.338e-02,1.393e-02,-5.730e-02,1737
0,50,0,150,-9.032e-02,-1.690e-03,-8.864e-02,-4.959e-02,1.586e-02,-6.545e-02,1757
0,50,0,175,-9.652e-02,-1.643e-03,-9.489e-02,-5.509e-02,1.751e-02,-7.260e-02,1777
0,50,0,200,-1.012e-01,-8.630e-04,-1.004e-01,-5.974e-02,1.888e-02,-7.862e-02,1797
0,75,0,50,-4.330e-02,2.744e-03,-4.605e-02,-1.899e-02,6.617e-03,-2.561e-02,1817
0,75,0,75,-5.881e-02,1.006e-03,-5.981e-02,-2.755e-02,9.350e-03,-3.690e-02,1837
