NO2,NO,CO,NH3,V0,V1,V2,V3,V4,V5,tf
125,50,0,50,2.813e-02,4.373e-02,-1.559e-02,1.529e-02,-9.765e-03,2.504e-02,5003
150,150,0,50,3.490e-02,5.457e-02,-1.967e-02,1.796e-02,-1.011e-02,2.807e-02,5023
50,75,0,75,-3.687e-02,1.474e-02,-5.162e-02,-1.919e-02,4.345e-03,-2.354e-02,5043
100,100,0,150,-5.765e-02,1.927e-02,-7.693e-02,-3.719e-02,9.231e-03,-4.643e-02,5063
125,125,0,75,8.981e-03,4.196e-02,-3.298e-02,4.307e-03,-7.486e-03,1.179e-02,5084
129,146,0,61,2.100e-02,4.740e-02,-2.641e-02,1.048e-02,-8.611e-03,1.908e-02,5104
56,94,0,94,-4.633e-02,1.480e-02,-6.114e-02,-2.626e-02,7.062e-03,-3.333e-02,5124
70,52,0,124,-6.017e-02,1.265e-02,-7.287e-02,-3.497e-02,9.829e-03,-4.481e-02,5144
100,150,0,150,-5.480e-02,2.181e-02,-7.662e-02,-3.650e-02,9.197e-03,-4.570e-02,5164
150,100,0,150,-3.207e-02,3.148e-02,-6.354e-02,-2.235e-02,-6.301e-04,-2.173e-02,5184
75,102,0,142,-6.398e-02,1.474e-02,-7.872e-02,-3.963e-02,1.192e-02,-5.155e-02,5204
100,85,0,133,-4.689e-02,2.154e-02,-6.844e-02,-3.002e-02,5.872e-03,-3.590e-02,5224
66,78,0,106,-4.883e-02,1.512e-02,-6.395e-02,-2.818e-02,7.349e-03,-3.553e-02,5244
150,75,0,50,3.675e-02,5.104e-02,-1.431e-02,1.930e-02,-1.073e-02,3.002e-02,5264
125,150,0,75,9.573e-03,4.329e-02,-3.372e-02,4.227e-03,-7.397e-03,1.161e-02,5285
75,100,0,150,-6.833e-02,1.398e-02,-8.232e-02,-4.236e-02,1.288e-02,-5.525e-02,5305
70,59,0,70,-1.944e-02,2.160e-02,-4.103e-02,-9.188e-03,-1.109e-03,-8.093e-03,5325
124,114,0,115,-2.118e-02,3.244e-02,-5.362e-02,-1.395e-02,-2.447e-03,-1.152e-02,5345
75,150,0,150,-6.566e-02,1.617e-02,-8.183e-02,-4.190e-02,1.299e-02,-5.490e-02,5365
125,125,0,150,-4.348e-02,2.631e-02,-6.980e-02,-2.966e-02,4.121e-03,-3.379e-02,5385
123,57,0,112,-2.142e-02,2.897e-02,-5.038e-02,-1.251e-02,-3.094e-03,-9.430e-03,5405
144,99,0,64,2.541e-02,4.776e-02,-2.236e-02,1.352e-02,-9.748e-03,2.326e-02,5425
75,125,0,75,-1.839e-02,2.611e-02,-4.450e-02,-1.063e-02,-8.228e-04,-9.821e-03,5445
102,67,0,72,-6.045e-04,3.232e-02,-3.293e-02,5.915e-04,-6.072e-03,6.649e-03,5465
75,75,0,75,-2.019e-02,2.304e-02,-4.324e-02,-1.015e-02,-1.138e-03,-9.024e-03,5486
60,105,0,99,-4.640e-02,1.634e-02,-6.274e-02,-2.702e-02,7.096e-03,-3.413e-02,5506
129,52,0,132,-3.309e-02,2.678e-02,-5.987e-02,-2.046e-02,-5.291e-04,-1.994e-02,5526
75,75,0,125,-5.645e-02,1.510e-02,-7.158e-02,-3.384e-02,9.057e-03,-4.291e-02,5546
106,124,0,52,1.804e-02,4.252e-02,-2.447e-02,9.264e-03,-7.854e-03,1.711e-02,5566
105,88,0,97,-1.927e-02,2.908e-02,-4.835e-02,-1.103e-02,-2.616e-03,-8.428e-03,5586
124,139,0,111,-1.771e-02,3.460e-02,-5.232e-02,-1.213e-02,-3.095e-03,-9.045e-03,5606
100,125,0,50,1.668e-02,4.105e-02,-2.436e-02,8.625e-03,-7.539e-03,1.615e-02,5626
100,125,0,100,-2.364e-02,2.856e-02,-5.220e-02,-1.453e-02,-9.708e-04,-1.358e-02,5646
103,141,0,86,-1.094e-02,3.346e-02,-4.440e-02,-6.865e-03,-3.725e-03,-3.155e-03,5666
79,99,0,92,-3.131e-02,2.210e-02,-5.341e-02,-1.766e-02,1.598e-03,-1.927e-02,5687
133,83,0,141,-3.624e-02,2.793e-02,-6.418e-02,-2.334e-02,4.623e-04,-2.382e-02,5707
130,65,0,52,2.900e-02,4.582e-02,-1.683e-02,1.570e-02,-9.942e-03,2.563e-02,5727
150,125,0,50,3.614e-02,5.389e-02,-1.775e-02,1.885e-02,-1.044e-02,2.927e-02,5747
75,150,0,100,-3.751e-02,2.284e-02,-6.036e-02,-2.284e-02,4.173e-03,-2.703e-02,5767
88,109,0,128,-5.101e-02,1.983e-02,-7.086e-02,-3.140e-02,7.104e-03,-3.852e-02,5787
100,100,0,125,-4.277e-02,2.292e-02,-6.569e-02,-2.651e-02,4.046e-03,-3.058e-02,5807
100,100,0,50,1.710e-02,4.054e-02,-2.344e-02,9.184e-03,-7.800e-03,1.697e-02,5827
125,50,0,100,-1.164e-02,3.229e-02,-4.395e-02,-5.411e-03,-5.669e-03,2.378e-04,5847
75,50,0,150,-7.197e-02,1.179e-02,-8.379e-02,-4.309e-02,1.261e-02,-5.571e-02,5867
58,114,0,94,-4.330e-02,1.816e-02,-6.147e-02,-2.515e-02,6.392e-03,-3.156e-02,5888
55,115,0,52,-1.089e-02,2.578e-02,-3.667e-02,-5.445e-03,-1.509e-03,-3.955e-03,5908
125,150,0,150,-4.277e-02,2.862e-02,-7.139e-02,-2.927e-02,3.740e-03,-3.303e-02,5928
100,150,0,50,1.775e-02,4.437e-02,-2.661e-02,8.459e-03,-7.435e-03,1.588e-02,5948
75,50,0,50,3.641e-03,2.893e-02,-2.530e-02,3.534e-03,-5.738e-03,9.253e-03,5968
145,64,0,51,3.571e-02,5.020e-02,-1.451e-02,1.907e-02,-1.078e-02,2.983e-02,5988
75,125,0,150,-6.808e-02,1.536e-02,-8.346e-02,-4.241e-02,1.264e-02,-5.507e-02,6008
50,100,0,150,-7.770e-02,9.977e-03,-8.765e-02,-4.595e-02,1.479e-02,-6.075e-02,6028
125,50,0,125,-2.983e-02,2.793e-02,-5.777e-02,-1.793e-02,-1.399e-03,-1.655e-02,6048
100,125,0,75,-2.604e-03,3.584e-02,-3.846e-02,-1.981e-03,-5.154e-03,3.152e-03,6068
56,91,0,119,-6.044e-02,1.358e-02,-7.403e-02,-3.536e-02,1.057e-02,-4.594e-02,6089
62,85,0,102,-4.730e-02,1.640e-02,-6.370e-02,-2.731e-02,6.861e-03,-3.420e-02,6109
100,50,0,50,1.885e-02,3.813e-02,-1.928e-02,1.055e-02,-8.419e-03,1.895e-02,6129
103,143,0,83,-6.607e-03,3.644e-02,-4.306e-02,-4.785e-03,-4.489e-03,-3.190e-04,6149
150,150,0,75,2.121e-02,5.066e-02,-2.945e-02,1.054e-02,-9.379e-03,1.991e-02,6169
92,148,0,90,-1.798e-02,3.130e-02,-4.930e-02,-1.198e-02,-1.518e-03,-1.049e-02,6189
75,50,0,75,-1.900e-02,2.302e-02,-4.204e-02,-9.239e-03,-1.774e-03,-7.494e-03,6209
50,100,0,75,-3.272e-02,1.897e-02,-5.169e-02,-1.849e-02,3.773e-03,-2.229e-02,6229
111,62,0,91,-1.030e-02,3.196e-02,-4.228e-02,-5.121e-03,-5.157e-03,5.057e-06,6249
103,80,0,104,-2.536e-02,2.759e-02,-5.298e-02,-1.475e-02,-1.376e-03,-1.340e-02,6269
100,50,0,150,-5.800e-02,1.863e-02,-7.665e-02,-3.739e-02,8.424e-03,-4.583e-02,6290
150,50,0,50,3.961e-02,5.183e-02,-1.222e-02,2.048e-02,-1.122e-02,3.168e-02,6310
60,72,0,93,-4.247e-02,1.650e-02,-5.901e-02,-2.369e-02,5.119e-03,-2.884e-02,6330
150,100,0,75,2.252e-02,4.858e-02,-2.607e-02,1.174e-02,-9.860e-03,2.158e-02,6350
126,55,0,147,-4.223e-02,2.570e-02,-6.792e-02,-2.815e-02,2.410e-03,-3.059e-02,6370
87,147,0,119,-4.138e-02,2.423e-02,-6.560e-02,-2.712e-02,5.051e-03,-3.220e-02,6390
150,75,0,125,-1.387e-02,3.626e-02,-5.014e-02,-9.558e-03,-5.747e-03,-3.843e-03,6410
150,150,0,125,-1.160e-02,4.028e-02,-5.189e-02,-9.938e-03,-5.332e-03,-4.634e-03,6430
150,75,0,150,-3.043e-02,3.211e-02,-6.255e-02,-2.137e-02,-1.801e-03,-1.961e-02,6450
100,75,0,50,2.014e-02,3.996e-02,-1.984e-02,1.041e-02,-8.373e-03,1.876e-02,6470
100,50,0,75,-2.101e-03,3.145e-02,-3.358e-02,6.817e-05,-6.235e-03,6.268e-03,6491
50,50,0,150,-7.882e-02,8.216e-03,-8.711e-02,-4.649e-02,1.403e-02,-6.054e-02,6511
150,125,0,150,-2.795e-02,3.496e-02,-6.291e-02,-2.113e-02,-1.694e-03,-1.947e-02,6531
123,126,0,132,-3.009e-02,3.104e-02,-6.113e-02,-2.122e-02,-1.065e-04,-2.114e-02,6551
50,125,0,50,-8.254e-03,2.623e-02,-3.451e-02,-5.388e-03,-1.438e-03,-3.983e-03,6571
75,50,0,125,-5.544e-02,1.494e-02,-7.042e-02,-3.310e-02,7.868e-03,-4.100e-02,6591
125,150,0,125,-2.390e-02,3.374e-02,-5.766e-02,-1.726e-02,-1.680e-03,-1.562e-02,6611
125,52,0,51,3.121e-02,4.520e-02,-1.400e-02,1.626e-02,-1.022e-02,2.645e-02,6631
50,150,0,150,-7.347e-02,1.273e-02,-8.616e-02,-4.532e-02,1.442e-02,-5.976e-02,6651
117,67,0,143,-4.342e-02,2.415e-02,-6.760e-02,-2.828e-02,3.066e-03,-3.138e-02,6671
74,93,0,95,-3.305e-02,2.113e-02,-5.421e-02,-1.935e-02,2.228e-03,-2.162e-02,6692
75,150,0,50,8.060e-03,3.735e-02,-2.931e-02,2.741e-03,-5.312e-03,8.018e-03,6712
112,103,0,104,-1.555e-02,3.260e-02,-4.817e-02,-1.064e-02,-3.621e-03,-7.052e-03,6732
50,50,0,50,-1.011e-02,1.993e-02,-3.007e-02,-3.861e-03,-2.271e-03,-1.632e-03,6752
75,65,0,102,-3.909e-02,1.867e-02,-5.779e-02,-2.226e-02,3.156e-03,-2.546e-02,6772
50,50,0,75,-3.377e-02,1.459e-02,-4.840e-02,-1.703e-02,2.742e-03,-1.981e-02,6792
75,125,0,50,8.300e-03,3.582e-02,-2.754e-02,3.360e-03,-5.612e-03,8.933e-03,6812
125,125,0,100,-5.631e-03,3.773e-02,-4.338e-02,-4.541e-03,-6.005e-03,1.413e-03,6832
75,75,0,100,-3.614e-02,2.002e-02,-5.620e-02,-2.130e-02,2.692e-03,-2.405e-02,6852
125,50,0,75,1.361e-02,3.939e-02,-2.580e-02,7.847e-03,-9.019e-03,1.682e-02,6872
53,127,0,78,-3.004e-02,2.050e-02,-5.057e-02,-1.788e-02,3.025e-03,-2.096e-02,6893
125,100,0,50,3.240e-02,4.827e-02,-1.587e-02,1.622e-02,-9.974e-03,2.616e-02,6913
150,135,0,109,8.033e-04,4.269e-02,-4.191e-02,-1.336e-03,-7.784e-03,6.397e-03,6933
75,125,0,100,-3.423e-02,2.238e-02,-5.665e-02,-2.121e-02,2.729e-03,-2.400e-02,6953
150,75,0,100,7.237e-03,4.196e-02,-3.475e-02,3.430e-03,-9.018e-03,1.240e-02,6973
78,99,0,146,-6.304e-02,1.557e-02,-7.865e-02,-3.976e-02,1.041e-02,-5.021e-02,6993
81,104,0,121,-4.559e-02,1.994e-02,-6.558e-02,-2.873e-02,5.521e-03,-3.432e-02,7013
123,138,0,98,-3.911e-03,3.796e-02,-4.189e-02,-3.880e-03,-6.087e-03,2.143e-03,7033
102,86,0,64,1.219e-02,3.738e-02,-2.522e-02,6.381e-03,-7.793e-03,1.412e-02,7053
75,50,0,100,-3.677e-02,1.817e-02,-5.499e-02,-2.037e-02,1.979e-03,-2.241e-02,7073
125,59,0,76,1.473e-02,4.016e-02,-2.546e-02,7.994e-03,-9.086e-03,1.702e-02,7094
150,100,0,50,4.211e-02,5.451e-02,-1.243e-02,2.097e-02,-1.113e-02,3.206e-02,7114
150,50,0,75,2.694e-02,4.599e-02,-1.906e-02,1.458e-02,-1.076e-02,2.529e-02,7134
50,75,0,100,-4.989e-02,1.257e-02,-6.253e-02,-2.840e-02,6.974e-03,-3.544e-02,7154
100,75,0,125,-3.855e-02,2.271e-02,-6.130e-02,-2.431e-02,1.903e-03,-2.629e-02,7174
108,101,0,89,-4.452e-03,3.429e-02,-3.877e-02,-3.299e-03,-5.806e-03,2.428e-03,7194
125,75,0,100,-4.367e-03,3.499e-02,-3.940e-02,-2.800e-03,-6.899e-03,4.019e-03,7214
94,59,0,73,1.925e-03,3.171e-02,-2.983e-02,1.158e-03,-6.522e-03,7.602e-03,7234
91,93,0,81,-7.501e-03,3.026e-02,-3.782e-02,-4.196e-03,-4.789e-03,5.027e-04,7254
125,75,0,50,3.532e-02,4.716e-02,-1.188e-02,1.773e-02,-1.042e-02,2.809e-02,7274
125,75,0,125,-2.269e-02,2.984e-02,-5.257e-02,-1.470e-02,-3.591e-03,-1.121e-02,7295
114,118,0,92,-1.608e-03,3.626e-02,-3.792e-02,-2.354e-03,-6.343e-03,3.891e-03,7315
102,77,0,102,-1.775e-02,2.751e-02,-4.532e-02,-1.064e-02,-3.590e-03,-7.158e-03,7335
50,75,0,125,-6.264e-02,1.008e-02,-7.271e-02,-3.716e-02,1.008e-02,-4.732e-02,7355
50,125,0,150,-7.106e-02,1.153e-02,-8.263e-02,-4.455e-02,1.314e-02,-5.775e-02,7375
100,75,0,150,-5.145e-02,1.977e-02,-7.129e-02,-3.401e-02,5.885e-03,-4.001e-02,7395
50,75,0,50,-1.977e-03,2.319e-02,-2.525e-02,-1.541e-03,-3.207e-03,1.548e-03,7415
98,142,0,146,-4.612e-02,2.303e-02,-6.923e-02,-3.190e-02,5.211e-03,-3.723e-02,7435
129,51,0,103,-7.040e-04,3.503e-02,-3.580e-02,-8.814e-04,-7.803e-03,6.788e-03,7455
50,150,0,125,-5.594e-02,1.490e-02,-7.094e-02,-3.563e-02,9.909e-03,-4.564e-02,7475
104,94,0,88,-4.554e-04,3.399e-02,-3.450e-02,-1.498e-03,-6.313e-03,4.668e-03,7496
150,150,0,150,-1.994e-02,3.677e-02,-5.678e-02,-1.648e-02,-4.236e-03,-1.242e-02,7516
125,150,0,100,2.800e-03,4.027e-02,-3.755e-02,-1.050e-03,-7.117e-03,5.911e-03,7536
84,120,0,83,-6.131e-03,3.050e-02,-3.673e-02,-5.208e-03,-4.184e-03,-1.197e-03,7556
116,82,0,116,-1.431e-02,3.098e-02,-4.538e-02,-1.020e-02,-4.726e-03,-5.686e-03,7576
